case_id,default_candidate_variant,variant,job_id,original_wav_path,selected_wav_path,is_default_candidate,is_repaired,rms_dbfs,peak_dbfs,clipped_ratio,status,review_reason
forest_bird_branch_001,naive_rich,naive,w18_001_forest_bird_branch_001_naive,artifacts/model_runs/w18_dss_ablation/forest_bird_branch_001/naive/w18_001_forest_bird_branch_001_naive.wav,artifacts/model_runs/w18_dss_ablation/forest_bird_branch_001/naive/w18_001_forest_bird_branch_001_naive.wav,False,False,-34.2595,-14.8157,0.0,ok,
forest_bird_branch_001,naive_rich,naive_rich,w18_002_forest_bird_branch_001_naive_rich,artifacts/model_runs/w18_dss_ablation/forest_bird_branch_001/naive_rich/w18_002_forest_bird_branch_001_naive_rich.wav,artifacts/model_runs/w18_dss_ablation/forest_bird_branch_001/naive_rich/w18_002_forest_bird_branch_001_naive_rich.wav,True,False,-30.642,-13.4768,0.0,ok,
forest_bird_branch_001,naive_rich,dss_global,w18_003_forest_bird_branch_001_dss_global,artifacts/model_runs/w18_dss_ablation/forest_bird_branch_001/dss_global/w18_003_forest_bird_branch_001_dss_global.wav,artifacts/model_runs/w18_dss_ablation/forest_bird_branch_001/dss_global/w18_003_forest_bird_branch_001_dss_global.wav,False,False,-15.6334,0.0,0.00056373,ok,
forest_bird_branch_001,naive_rich,dss_event_timeline,w18_004_forest_bird_branch_001_dss_event_timeline,artifacts/model_runs/w18_dss_ablation/forest_bird_branch_001/dss_event_timeline/w18_004_forest_bird_branch_001_dss_event_timeline.wav,artifacts/model_runs/w18_dss_ablation/forest_bird_branch_001/dss_event_timeline/w18_004_forest_bird_branch_001_dss_event_timeline.wav,False,False,-24.873,0.0,5.69e-06,ok,
forest_bird_branch_001,naive_rich,dss_layer_avoid,w18_005_forest_bird_branch_001_dss_layer_avoid,artifacts/model_runs/w18_dss_ablation/forest_bird_branch_001/dss_layer_avoid/w18_005_forest_bird_branch_001_dss_layer_avoid.wav,artifacts/model_runs/w18_dss_ablation/forest_bird_branch_001/dss_layer_avoid/w18_005_forest_bird_branch_001_dss_layer_avoid.wav,False,False,-24.0057,0.0,2.85e-06,ok,
glass_drop_room_001,dss_layer_avoid,naive,w18_006_glass_drop_room_001_naive,artifacts/model_runs/w18_dss_ablation/glass_drop_room_001/naive/w18_006_glass_drop_room_001_naive.wav,artifacts/model_runs/w18_dss_ablation/glass_drop_room_001/naive/w18_006_glass_drop_room_001_naive.wav,False,False,-28.8087,-0.0003,1.628e-05,ok,
glass_drop_room_001,dss_layer_avoid,naive_rich,w18_007_glass_drop_room_001_naive_rich,artifacts/model_runs/w18_dss_ablation/glass_drop_room_001/naive_rich/w18_007_glass_drop_room_001_naive_rich.wav,artifacts/model_runs/w18_dss_ablation/glass_drop_room_001/naive_rich/w18_007_glass_drop_room_001_naive_rich.wav,False,False,-36.791,-22.9395,0.0,ok,
glass_drop_room_001,dss_layer_avoid,dss_global,w18_008_glass_drop_room_001_dss_global,artifacts/model_runs/w18_dss_ablation/glass_drop_room_001/dss_global/w18_008_glass_drop_room_001_dss_global.wav,artifacts/model_runs/w18_dss_ablation/glass_drop_room_001/dss_global/w18_008_glass_drop_room_001_dss_global.wav,False,False,-28.5421,-0.0681,0.0,ok,
glass_drop_room_001,dss_layer_avoid,dss_event_timeline,w18_009_glass_drop_room_001_dss_event_timeline,artifacts/model_runs/w18_dss_ablation/glass_drop_room_001/dss_event_timeline/w18_009_glass_drop_room_001_dss_event_timeline.wav,artifacts/model_runs/w18_dss_ablation/glass_drop_room_001/dss_event_timeline/w18_009_glass_drop_room_001_dss_event_timeline.wav,False,False,-36.765,-23.0593,0.0,ok,
glass_drop_room_001,dss_layer_avoid,dss_layer_avoid,w18_010_glass_drop_room_001_dss_layer_avoid,artifacts/model_runs/w18_dss_ablation/glass_drop_room_001/dss_layer_avoid/w18_010_glass_drop_room_001_dss_layer_avoid.wav,artifacts/model_runs/w18_dss_ablation/glass_drop_room_001/dss_layer_avoid/w18_010_glass_drop_room_001_dss_layer_avoid.wav,True,False,-33.8753,-0.5245,0.0,ok,
kitchen_chop_sizzle_001,dss_global,naive,w18_011_kitchen_chop_sizzle_001_naive,artifacts/model_runs/w18_dss_ablation/kitchen_chop_sizzle_001/naive/w18_011_kitchen_chop_sizzle_001_naive.wav,artifacts/model_runs/w18_dss_ablation/kitchen_chop_sizzle_001/naive/w18_011_kitchen_chop_sizzle_001_naive.wav,False,False,-17.9157,0.0,4.55e-06,ok,
kitchen_chop_sizzle_001,dss_global,naive_rich,w18_012_kitchen_chop_sizzle_001_naive_rich,artifacts/model_runs/w18_dss_ablation/kitchen_chop_sizzle_001/naive_rich/w18_012_kitchen_chop_sizzle_001_naive_rich.wav,artifacts/model_runs/w18_dss_ablation/kitchen_chop_sizzle_001/naive_rich/w18_012_kitchen_chop_sizzle_001_naive_rich.wav,False,False,-23.4798,-0.0003,9.11e-06,ok,
kitchen_chop_sizzle_001,dss_global,dss_global,w18_013_kitchen_chop_sizzle_001_dss_global,artifacts/model_runs/w18_dss_ablation/kitchen_chop_sizzle_001/dss_global/w18_013_kitchen_chop_sizzle_001_dss_global.wav,artifacts/model_runs/w18_dss_ablation/kitchen_chop_sizzle_001/dss_global/w18_013_kitchen_chop_sizzle_001_dss_global.wav,True,False,-23.1706,-0.1368,0.0,ok,
kitchen_chop_sizzle_001,dss_global,dss_event_timeline,w18_014_kitchen_chop_sizzle_001_dss_event_timeline,artifacts/model_runs/w18_dss_ablation/kitchen_chop_sizzle_001/dss_event_timeline/w18_014_kitchen_chop_sizzle_001_dss_event_timeline.wav,artifacts/model_runs/w18_dss_ablation/kitchen_chop_sizzle_001/dss_event_timeline/w18_014_kitchen_chop_sizzle_001_dss_event_timeline.wav,False,False,-25.7272,-0.1024,0.0,ok,
kitchen_chop_sizzle_001,dss_global,dss_layer_avoid,w18_015_kitchen_chop_sizzle_001_dss_layer_avoid,artifacts/model_runs/w18_dss_ablation/kitchen_chop_sizzle_001/dss_layer_avoid/w18_015_kitchen_chop_sizzle_001_dss_layer_avoid.wav,artifacts/model_runs/w18_dss_ablation/kitchen_chop_sizzle_001/dss_layer_avoid/w18_015_kitchen_chop_sizzle_001_dss_layer_avoid.wav,False,False,-23.2495,-0.1024,0.0,ok,
robot_warehouse_pick_001,dss_event_timeline,naive,w18_016_robot_warehouse_pick_001_naive,artifacts/model_runs/w18_dss_ablation/robot_warehouse_pick_001/naive/w18_016_robot_warehouse_pick_001_naive.wav,artifacts/model_runs/w18_dss_ablation/robot_warehouse_pick_001/naive/w18_016_robot_warehouse_pick_001_naive.wav,False,False,-18.0394,-0.3109,0.0,ok,
robot_warehouse_pick_001,dss_event_timeline,naive_rich,w18_017_robot_warehouse_pick_001_naive_rich,artifacts/model_runs/w18_dss_ablation/robot_warehouse_pick_001/naive_rich/w18_017_robot_warehouse_pick_001_naive_rich.wav,artifacts/model_runs/w18_dss_ablation/robot_warehouse_pick_001/naive_rich/w18_017_robot_warehouse_pick_001_naive_rich.wav,False,False,-14.0528,-0.206,0.0,ok,
robot_warehouse_pick_001,dss_event_timeline,dss_global,w18_018_robot_warehouse_pick_001_dss_global,artifacts/model_runs/w18_dss_ablation/robot_warehouse_pick_001/dss_global/w18_018_robot_warehouse_pick_001_dss_global.wav,artifacts/model_runs/w18_dss_ablation/robot_warehouse_pick_001/dss_global/w18_018_robot_warehouse_pick_001_dss_global.wav,False,False,-14.1672,-0.034,0.0,ok,
robot_warehouse_pick_001,dss_event_timeline,dss_event_timeline,w18_019_robot_warehouse_pick_001_dss_event_timeline,artifacts/model_runs/w18_dss_ablation/robot_warehouse_pick_001/dss_event_timeline/w18_019_robot_warehouse_pick_001_dss_event_timeline.wav,artifacts/model_runs/w18_dss_ablation/robot_warehouse_pick_001/dss_event_timeline/w18_019_robot_warehouse_pick_001_dss_event_timeline.wav,True,False,-22.7657,-7.1032,0.0,ok,
robot_warehouse_pick_001,dss_event_timeline,dss_layer_avoid,w18_020_robot_warehouse_pick_001_dss_layer_avoid,artifacts/model_runs/w18_dss_ablation/robot_warehouse_pick_001/dss_layer_avoid/w18_020_robot_warehouse_pick_001_dss_layer_avoid.wav,artifacts/model_runs/w18_dss_ablation/robot_warehouse_pick_001/dss_layer_avoid/w18_020_robot_warehouse_pick_001_dss_layer_avoid.wav,False,False,-16.7288,-1.4757,0.0,ok,
street_rain_crosswalk_001,dss_event_timeline,naive,w18_021_street_rain_crosswalk_001_naive,artifacts/model_runs/w18_dss_ablation/street_rain_crosswalk_001/naive/w18_021_street_rain_crosswalk_001_naive.wav,artifacts/model_runs/w18_dss_ablation/street_rain_crosswalk_001/naive/w18_021_street_rain_crosswalk_001_naive.wav,False,False,-11.5997,0.0,1.015e-05,ok,
street_rain_crosswalk_001,dss_event_timeline,naive_rich,w18_022_street_rain_crosswalk_001_naive_rich,artifacts/model_runs/w18_dss_ablation/street_rain_crosswalk_001/naive_rich/w18_022_street_rain_crosswalk_001_naive_rich.wav,artifacts/model_runs/w18_dss_ablation/street_rain_crosswalk_001/naive_rich/w18_022_street_rain_crosswalk_001_naive_rich.wav,False,False,-16.952,-2.3641,0.0,ok,
street_rain_crosswalk_001,dss_event_timeline,dss_global,w18_023_street_rain_crosswalk_001_dss_global,artifacts/model_runs/w18_dss_ablation/street_rain_crosswalk_001/dss_global/w18_023_street_rain_crosswalk_001_dss_global.wav,artifacts/model_runs/w18_dss_ablation/street_rain_crosswalk_001/dss_global/w18_023_street_rain_crosswalk_001_dss_global.wav,False,False,-10.0348,0.0,7.356e-05,ok,
street_rain_crosswalk_001,dss_event_timeline,dss_event_timeline,w18_024_street_rain_crosswalk_001_dss_event_timeline,artifacts/model_runs/w18_dss_ablation/street_rain_crosswalk_001/dss_event_timeline/w18_024_street_rain_crosswalk_001_dss_event_timeline.wav,artifacts/model_runs/w18_dss_ablation/street_rain_crosswalk_001/dss_event_timeline/w18_024_street_rain_crosswalk_001_dss_event_timeline.wav,True,False,-16.5888,-3.0593,0.0,ok,
street_rain_crosswalk_001,dss_event_timeline,dss_layer_avoid,w18_025_street_rain_crosswalk_001_dss_layer_avoid,artifacts/model_runs/w18_dss_ablation/street_rain_crosswalk_001/dss_layer_avoid/w18_025_street_rain_crosswalk_001_dss_layer_avoid.wav,artifacts/model_runs/w18_dss_ablation/street_rain_crosswalk_001/dss_layer_avoid/w18_025_street_rain_crosswalk_001_dss_layer_avoid.wav,False,False,-16.1286,-2.8684,0.0,ok,
subway_arrival_door_001,naive,naive,w18_026_subway_arrival_door_001_naive,artifacts/model_runs/w18_dss_ablation/subway_arrival_door_001/naive/w18_026_subway_arrival_door_001_naive.wav,artifacts/model_runs/w18_dss_ablation/subway_arrival_door_001/naive/w18_026_subway_arrival_door_001_naive.wav,True,False,-22.3956,-4.9374,0.0,ok,
subway_arrival_door_001,naive,naive_rich,w18_027_subway_arrival_door_001_naive_rich,artifacts/model_runs/w18_dss_ablation/subway_arrival_door_001/naive_rich/w18_027_subway_arrival_door_001_naive_rich.wav,artifacts/model_runs/w18_dss_ablation/subway_arrival_door_001/naive_rich/w18_027_subway_arrival_door_001_naive_rich.wav,False,False,-15.7839,-0.2758,0.0,ok,
subway_arrival_door_001,naive,dss_global,w18_028_subway_arrival_door_001_dss_global,artifacts/model_runs/w18_dss_ablation/subway_arrival_door_001/dss_global/w18_028_subway_arrival_door_001_dss_global.wav,artifacts/model_runs/w18_dss_ablation/subway_arrival_door_001/dss_global/w18_028_subway_arrival_door_001_dss_global.wav,False,False,-16.0454,-0.1713,0.0,ok,
subway_arrival_door_001,naive,dss_event_timeline,w18_029_subway_arrival_door_001_dss_event_timeline,artifacts/model_runs/w18_dss_ablation/subway_arrival_door_001/dss_event_timeline/w18_029_subway_arrival_door_001_dss_event_timeline.wav,artifacts/model_runs/w18_dss_ablation/subway_arrival_door_001/dss_event_timeline/w18_029_subway_arrival_door_001_dss_event_timeline_repaired_peak_m3db.wav,False,True,-9.6374,0.0,0.00260341,clipping_review,clipping_review|uses_peak_repaired_version
subway_arrival_door_001,naive,dss_layer_avoid,w18_030_subway_arrival_door_001_dss_layer_avoid,artifacts/model_runs/w18_dss_ablation/subway_arrival_door_001/dss_layer_avoid/w18_030_subway_arrival_door_001_dss_layer_avoid.wav,artifacts/model_runs/w18_dss_ablation/subway_arrival_door_001/dss_layer_avoid/w18_030_subway_arrival_door_001_dss_layer_avoid_repaired_peak_m3db.wav,False,True,-10.2822,0.0,0.00129831,clipping_review,clipping_review|uses_peak_repaired_version
