case_id,repair_id,decision,score,metrics_available
forest_bird_branch_001,fb_001_tuesday_repair,MANUAL_REVIEW,7,True
forest_bird_branch_001,fb_012_tuesday_repair,MANUAL_REVIEW,7,True
glass_drop_room_001,fb_009_tuesday_repair,MANUAL_REVIEW,7,True
glass_drop_room_001,fb_010_tuesday_repair,MANUAL_REVIEW,7,True
glass_drop_room_001,fb_011_semantic_repair,MANUAL_REVIEW,7,True
glass_drop_room_001,fb_011_tuesday_repair,MANUAL_REVIEW,7,True
kitchen_chop_sizzle_001,fb_006_tuesday_repair,MANUAL_REVIEW,7,True
kitchen_chop_sizzle_001,fb_007_tuesday_repair,MANUAL_REVIEW,7,True
robot_warehouse_pick_001,fb_002_tuesday_repair,MANUAL_REVIEW,7,True
robot_warehouse_pick_001,fb_003_semantic_repair,MANUAL_REVIEW,7,True
robot_warehouse_pick_001,fb_003_tuesday_repair,MANUAL_REVIEW,7,True
robot_warehouse_pick_001,fb_004_transplant_v2,MANUAL_REVIEW,7,True
street_rain_crosswalk_001,hn_001_tuesday_repair,MANUAL_REVIEW,7,True
subway_arrival_door_001,fb_005_transplant_v2,MANUAL_REVIEW,7,True
subway_arrival_door_001,hn_002_semantic_repair,MANUAL_REVIEW,7,True
subway_arrival_door_001,hn_002_tuesday_repair,MANUAL_REVIEW,7,True
subway_arrival_door_001,hn_003_semantic_repair,MANUAL_REVIEW,7,True
subway_arrival_door_001,hn_003_tuesday_repair,MANUAL_REVIEW,7,True
robot_warehouse_pick_001,fb_004_transplant_v1,REPAIR_REJECTED,5,True
subway_arrival_door_001,fb_005_transplant_v1,REPAIR_REJECTED,5,True
